peakRSS,runtime,full_command,datetime_of_run
85488, 2175.928s, iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 500000 --num-alignments 16 -r 15000 -nt 1 --openmp-alg IM -redo, Mon Sep  1 22:05:56 UTC 2025
165648, 1515.842s, mpirun -np 2 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 500000 --num-alignments 16 -r 15000 -nt 1 --openmp-alg IM -redo, Mon Sep  1 22:42:12 UTC 2025
338840, 759.255s, mpirun -np 4 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 500000 --num-alignments 16 -r 15000 -nt 1 --openmp-alg IM -redo, Mon Sep  1 23:07:28 UTC 2025
735672, 444.638s, mpirun -np 8 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 500000 --num-alignments 16 -r 15000 -nt 1 --openmp-alg IM -redo, Mon Sep  1 23:20:07 UTC 2025
1045748, 549.379s, mpirun -np 12 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 500000 --num-alignments 16 -r 15000 -nt 1 --openmp-alg IM -redo, Mon Sep  1 23:27:32 UTC 2025
1331836, 324.234s, mpirun -np 16 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 500000 --num-alignments 16 -r 15000 -nt 1 --openmp-alg IM -redo, Mon Sep  1 23:36:42 UTC 2025
