peakRSS_[KiB],runtime_[s],n_procs,n_threads,n_sites,n_taxa,n_alignments,omp_alg,full_command,datetime_of_run
263692,619.002,1,2,6000,200000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 2 --openmp-alg EM -redo,Thu Sep  4 00:48:37 UTC 2025
263924,338.040,1,4,6000,200000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 4 --openmp-alg EM -redo,Thu Sep  4 00:59:00 UTC 2025
263688,218.050,1,8,6000,200000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 8 --openmp-alg EM -redo,Thu Sep  4 01:04:43 UTC 2025
264356,218.174,1,12,6000,200000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 12 --openmp-alg EM -redo,Thu Sep  4 01:08:25 UTC 2025
275388,223.675,1,16,6000,200000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 16 --openmp-alg EM -redo,Thu Sep  4 01:12:08 UTC 2025
37220,1040.516,1,1,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg EM -redo,Thu Sep  4 01:15:57 UTC 2025
43448,611.436,1,2,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 2 --openmp-alg EM -redo,Thu Sep  4 01:33:21 UTC 2025
41272,322.178,1,4,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 4 --openmp-alg EM -redo,Thu Sep  4 01:43:37 UTC 2025
41832,194.661,1,8,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 8 --openmp-alg EM -redo,Thu Sep  4 01:49:04 UTC 2025
42492,189.996,1,12,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 12 --openmp-alg EM -redo,Thu Sep  4 01:52:24 UTC 2025
42196,172.586,1,16,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 16 --openmp-alg EM -redo,Thu Sep  4 01:55:39 UTC 2025
272956,488.369,1,16,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 16 --openmp-alg IM -redo,Thu Sep  4 01:58:35 UTC 2025
537684,179.357,2,8,6000,200000,48,IM,mpirun -np 2 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 8 --openmp-alg IM -redo,Thu Sep  4 02:06:47 UTC 2025
1074880,198.032,4,4,6000,200000,48,IM,mpirun -np 4 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 4 --openmp-alg IM -redo,Thu Sep  4 02:09:50 UTC 2025
2151880,300.025,8,2,6000,200000,48,IM,mpirun -np 8 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 2 --openmp-alg IM -redo,Thu Sep  4 02:13:11 UTC 2025
4308328,153.133,16,1,6000,200000,48,IM,mpirun -np 16 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 1 --openmp-alg IM -redo,Thu Sep  4 02:18:15 UTC 2025
